taxon	sequenceID	combined	pubmed_id	source	name	isolate	country	subtype	genotype	collection_year
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH374284	MH374284	MH374284/A/A8/Italy/2017/2017		ncbi-refseqs-srlv	SRLV	2017	Italy	A8	A	2017
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH374285	MH374285	MH374285/A/A8/Italy/2017/2017		ncbi-refseqs-srlv	SRLV	2017	Italy	A8	A	2017
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH374286	MH374286	MH374286/A/A8/Italy/2017/2017		ncbi-refseqs-srlv	SRLV	2017	Italy	A8	A	2017
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH374287	MH374287	MH374287/A/A18/Italy/2017/2017		ncbi-refseqs-srlv	SRLV	2017	Italy	A18	A	2017
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH374288	MH374288	MH374288/B/B2/Italy/2017/2017		ncbi-refseqs-srlv	SRLV	2017	Italy	B2	B	2017
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH374289	MH374289	MH374289/B/B1/Italy/-/SRLV_Taccone		ncbi-refseqs-srlv	SRLV	SRLV_Taccone	Italy	B1	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH374290	MH374290	MH374290/B/B1/Italy/1989/1989		ncbi-refseqs-srlv	SRLV	1989	Italy	B1	B	1989
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH374291	MH374291	MH374291/A/A8/Italy/2017/2017		ncbi-refseqs-srlv	SRLV	2017	Italy	A8	A	2017
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MH916859	MH916859	MH916859/A/A3/United States/2017/2017		ncbi-refseqs-srlv	SRLV	2017	United States	A3	A	2017
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993896	MT993896	MT993896/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993897	MT993897	MT993897/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993898	MT993898	MT993898/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993899	MT993899	MT993899/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993900	MT993900	MT993900/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993901	MT993901	MT993901/A/A3/United States/2007/2007		ncbi-refseqs-srlv	SRLV	2007	United States	A3	A	2007
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993902	MT993902	MT993902/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993903	MT993903	MT993903/A/A3/United States/2007/2007		ncbi-refseqs-srlv	SRLV	2007	United States	A3	A	2007
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993904	MT993904	MT993904/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993905	MT993905	MT993905/A/A3/United States/2017/2017		ncbi-refseqs-srlv	SRLV	2017	United States	A3	A	2017
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993906	MT993906	MT993906/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993907	MT993907	MT993907/A/A3/United States/2005/2005		ncbi-refseqs-srlv	SRLV	2005	United States	A3	A	2005
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993908	MT993908	MT993908/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993909	MT993909	MT993909/A/A3/United States/2007/2007		ncbi-refseqs-srlv	SRLV	2007	United States	A3	A	2007
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993910	MT993910	MT993910/A/A3/United States/2007/2007		ncbi-refseqs-srlv	SRLV	2007	United States	A3	A	2007
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993911	MT993911	MT993911/A/A3/United States/2003/2003		ncbi-refseqs-srlv	SRLV	2003	United States	A3	A	2003
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993912	MT993912	MT993912/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993913	MT993913	MT993913/A/A3/United States/2004/2004		ncbi-refseqs-srlv	SRLV	2004	United States	A3	A	2004
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993914	MT993914	MT993914/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993915	MT993915	MT993915/A/A3/United States/2007/2007		ncbi-refseqs-srlv	SRLV	2007	United States	A3	A	2007
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993916	MT993916	MT993916/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993917	MT993917	MT993917/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MT993918	MT993918	MT993918/A/A3/United States/2006/2006		ncbi-refseqs-srlv	SRLV	2006	United States	A3	A	2006
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/MW248464	MW248464	MW248464/A/A0/China/2020/2020		ncbi-refseqs-srlv	SRLV	2020	China	A0	A	2020
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-core/NC_001452	NC_001452	NC_001452/A/A1/Iceland/-/NK	2824836	ncbi-refseqs-core	SRLV	NK	Iceland	A1	A	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-core/NC_001463	NC_001463	NC_001463/B/B1/United States/-/Clements	2171210	ncbi-refseqs-core	SRLV	Clements	United States	B1	B	-
alignment/AL_UNC_TREE_OvineCaprine/member/ncbi-refseqs-srlv/S51392	S51392	S51392/A/A1/United Kingdon/1984/1984		ncbi-refseqs-srlv	SRLV	1984	United Kingdon	A1	A	1984
