Accession	Species	Subgenus	Country	Place_sampled	Isolation Year	Genotype	Subtype	Strain/clone	Length	pubmed_id	Genomic region	Region
M10608	Ovis aries	Ovine-Caprine	Iceland		1953	A	1	Sheep	9203		Genome	Europe
M31646	Ovis aries	Ovine-Caprine	South Africa		1976	A	1	SA-OMVV	9256		Genome	Africa
M34193	Ovis aries	Ovine-Caprine	South Africa		1976	A	1	SA-OMVV	9256		Genome	Africa
M51543	Ovis aries	Ovine-Caprine	Iceland		1952	A	1	Sheep	9202		Genome	Europe
M60610	Ovis aries	Ovine-Caprine	Iceland		1949	A	1	Sheep	9225		Genome	Europe
MG554402	Ovis aries	Ovine-Caprine	Italy		NK	B	1	SRLV001	9145		Genome	Europe
MG554403	Capra hircus	Ovine-Caprine	Italy		2008	A	8	SRLV002	9307		Genome	Europe
MG554404	Capra hircus	Ovine-Caprine	Italy		2008	A	8	SRLV003	9231		Genome	Europe
MG554405	Capra hircus	Ovine-Caprine	Italy		2008	A	8	SRLV004	9206		Genome	Europe
MG554406	Capra hircus	Ovine-Caprine	Italy		2008	A	8	SRLV005	9486		Genome	Europe
MG554407	Capra hircus	Ovine-Caprine	Italy		2008	A	8	SRLV006	9138		Genome	Europe
MG554408	Capra hircus	Ovine-Caprine	Italy		2008	A	8	SRLV007	9258		Genome	Europe
MG554409	Capra hircus	Ovine-Caprine	Italy		2008	A	1	SRLV009	9312		Genome	Europe
MG554410	Capra hircus	Ovine-Caprine	Italy		NK	B	1	SRLV010	9168		Genome	E. Asia
MG554411	Capra hircus	Ovine-Caprine	Italy		NK	B	1	SRLV014	9270		Genome	Europe
MG554412	Capra hircus	Ovine-Caprine	Italy		NK	B	1	SRLV016	9121		Genome	Europe
MG554413	Capra hircus	Ovine-Caprine	Italy		NK	B	1	SRLV017	9136		Genome	Europe
MG554414	Capra hircus	Ovine-Caprine	Italy		NK	B	NK	SRLV020	9119		Genome	Europe
MG996440	Capra hircus	Ovine-Caprine	Mexico		2013	B	1	SRLV/B1/Goat/MX/INIFAP-1/2013	9131		Genome	N. America
MH374283	Capra hircus	Ovine-Caprine	Italy		2017	A	8	SRLV024	9266		Genome	Europe
MH374284	Capra hircus	Ovine-Caprine	Italy		2017	A	8	SRLV025	9257		Genome	Europe
MH374285	Capra hircus	Ovine-Caprine	Italy		2017	A	8	SRLV026	9276		Genome	Europe
MH374286	Capra hircus	Ovine-Caprine	Italy		2017	A	8	SRLV032	9265		Genome	Europe
MH374287	Ovis aries	Ovine-Caprine	Italy		2017	A	18	SRLV038	9164		Genome	Europe
MH374288	Ovis aries	Ovine-Caprine	Italy		2017	B	2	SRLV042	8908		Genome	Europe
MH374289	Capra hircus	Ovine-Caprine	Italy		NK	B	1	SRLV_Taccone	9158		Genome	Europe
MH374290	Capra hircus	Ovine-Caprine	Italy		1989	B	1	SRLV_To1-89	9135		Genome	Europe
MH374291	Capra hircus	Ovine-Caprine	Italy		2017	A	8	SRLV_VdA	9316		Genome	Europe
MH916859	Ovis aries	Ovine-Caprine	United States		2017	A	3	1150	9195		Genome	N. America
MH936674	Capra hircus	Ovine-Caprine	Italy		2015	B	1	BRMG CNPC	6378		Genome	Europe
MT993896	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200303013-1	9206		Genome	N. America
MT993897	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200303038-1	9192		Genome	N. America
MT993898	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200303332-1	9171		Genome	N. America
MT993899	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200103515-1	9166		Genome	N. America
MT993900	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200050064-r	9202		Genome	N. America
MT993901	Ovis aries	Ovine-Caprine	United States		2007	A	3	USMARC-200323455-1	9194		Genome	N. America
MT993902	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200103342-1	9207		Genome	N. America
MT993903	Ovis aries	Ovine-Caprine	United States		2007	A	3	USMARC-199835918-1	9192		Genome	N. America
MT993904	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200023230-1	9193		Genome	N. America
MT993905	Ovis aries	Ovine-Caprine	United States		2017	A	3	USMARC-201373037-1	9166		Genome	N. America
MT993906	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200117502-r	9185		Genome	N. America
MT993907	Ovis aries	Ovine-Caprine	United States		2005	A	3	USMARC-200216049-r	9200		Genome	N. America
MT993908	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200212120-r	9202		Genome	N. America
MT993909	Ovis aries	Ovine-Caprine	United States		2007	A	3	USMARC-200312013-r	9191		Genome	N. America
MT993910	Ovis aries	Ovine-Caprine	United States		2007	A	3	USMARC-200312088-r	9199		Genome	N. America
MT993911	Ovis aries	Ovine-Caprine	United States		2003	A	3	USMARC-199906011-2	9189		Genome	N. America
MT993912	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200106932-2	9191		Genome	N. America
MT993913	Ovis aries	Ovine-Caprine	United States		2004	A	3	USMARC-200106929-2	9201		Genome	N. America
MT993914	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200016283-2	9206		Genome	N. America
MT993915	Ovis aries	Ovine-Caprine	United States		2007	A	3	USMARC-200335185-2	9203		Genome	N. America
MT993916	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-200177363-2	9215		Genome	N. America
MT993917	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-199916128-2	9172		Genome	N. America
MT993918	Ovis aries	Ovine-Caprine	United States		2006	A	3	USMARC-199916193-r	9204		Genome	N. America
MW248464	Ovis aries	Ovine-Caprine	China		2020	A	0	NM1111	9193		Genome	E. Asia
S51392	Ovis aries	Ovine-Caprine	United Kingdon		1984	A	1	EV1	9203		Genome	Europe
