sequenceID	species	genotype	subtype
AF156873	SRLV	BC	B1
AF156874	SRLV	BC	B1
AF156875	SRLV	BC	B1
AF156876	SRLV	BC	B1
AF156877	SRLV	BC	B1
AF322851	SRLV	BC	C
AF322852	SRLV	BC	C
AF322853	SRLV	BC	C
AF322854	SRLV	-	-
AF322855	SRLV	BC	C
AF322856	SRLV	BC	C
AF338226	SRLV	A	A3
AF338227	SRLV	A	A1
AF362293	SRLV	BC	B1
AF362294	SRLV	BC	B1
AF362295	SRLV	BC	B1
AF362296	SRLV	BC	B1
AF362297	SRLV	BC	B1
AF362298	SRLV	BC	B1
AF362299	SRLV	BC	B1
AF362300	SRLV	BC	B1
AF362301	SRLV	BC	B1
AF362302	SRLV	BC	B1
AF362303	SRLV	BC	B1
AF362304	SRLV	BC	B1
AF362305	SRLV	BC	B1
AF362306	SRLV	BC	B1
AF362307	SRLV	BC	B1
AF362308	SRLV	BC	B1
AF362309	SRLV	BC	B1
AF362310	SRLV	BC	B1
AF362311	SRLV	BC	B1
AF362312	SRLV	BC	B1
AF362313	SRLV	BC	B1
AF362314	SRLV	BC	B1
AF362315	SRLV	BC	B1
AF362316	SRLV	BC	B1
AF362317	SRLV	BC	B1
AF362318	SRLV	BC	B1
AF362319	SRLV	BC	B1
AF362320	SRLV	BC	B1
AF362321	SRLV	BC	B1
AF362322	SRLV	BC	B1
AF362323	SRLV	BC	B1
AF362324	SRLV	BC	B1
AF362325	SRLV	BC	B1
AF402664	SRLV	BC	B1
AF402665	SRLV	BC	B1
AF402666	SRLV	BC	B1
AF402667	SRLV	BC	B1
AF402668	SRLV	BC	B1
AF474005	SRLV	A	A1
AF474006	SRLV	A	A1
AF474007	SRLV	A	A1
AJ305039	SRLV	A	-
AJ305040	SRLV	BC	B1
AJ305041	SRLV	BC	B1
AJ305042	SRLV	BC	B1
AJ305050	SRLV	A	-
AJ305051	SRLV	BC	B1
AJ305052	SRLV	BC	B1
AJ305053	SRLV	BC	B1
AJ400718	SRLV	BC	B1
AJ400719	SRLV	BC	B1
AJ400720	SRLV	BC	B1
AJ400721	SRLV	BC	B1
AJ969032	SRLV	A	A1
AJ969033	SRLV	A	A1
AJ969034	SRLV	A	A1
AJ969035	SRLV	A	A1
AJ969036	SRLV	A	A1
AJ969037	SRLV	A	A1
AJ969038	SRLV	A	-
AJ969039	SRLV	A	-
AJ969040	SRLV	A	-
AJ969041	SRLV	A	-
AJ969042	SRLV	A	-
AJ969043	SRLV	A	-
AM084203	SRLV	A	A3
AM084204	SRLV	A	A3
AM084205	SRLV	A	A3
AM084206	SRLV	A	-
AM084207	SRLV	A	A3
AM084208	SRLV	A	-
AM084209	SRLV	A	-
AM084210	SRLV	A	A1
AM084211	SRLV	A	A1
AM084212	SRLV	A	A1
AM084213	SRLV	A	-
AM084214	SRLV	A	-
AM084215	SRLV	A	-
AM419950	SRLV	A	-
AM419951	SRLV	A	-
AY039765	SRLV	BC	B1
AY039766	SRLV	BC	B1
AY039767	SRLV	BC	B1
AY039768	SRLV	BC	B1
AY039769	SRLV	BC	B1
AY039770	SRLV	BC	B1
AY039771	SRLV	BC	B1
AY039772	SRLV	BC	B1
AY039773	SRLV	BC	B1
AY039774	SRLV	BC	B1
AY039775	SRLV	BC	B1
AY039776	SRLV	BC	B1
AY039777	SRLV	BC	B1
AY039778	SRLV	BC	B1
AY039779	SRLV	BC	B1
AY039780	SRLV	BC	B1
AY039781	SRLV	BC	B1
AY039782	SRLV	BC	B1
AY039783	SRLV	BC	B1
AY039784	SRLV	BC	B1
AY044803	SRLV	BC	B2
AY044804	SRLV	BC	B2
AY044805	SRLV	BC	B2
AY044806	SRLV	BC	B2
AY044807	SRLV	BC	B2
AY044808	SRLV	BC	B2
AY044809	SRLV	BC	B2
AY044810	SRLV	BC	B2
AY047362	SRLV	BC	B1
AY081139	SRLV	BC	B1
AY101347	SRLV	BC	B1
AY101348	SRLV	BC	B1
AY101611	SRLV	A	A3
AY265455	SRLV	A	-
AY265456	SRLV	BC	B2
AY362022	SRLV	A	A3
AY362024	SRLV	A	A3
AY362026	SRLV	A	A3
AY362029	SRLV	A	A3
AY362030	SRLV	A	A3
AY362032	SRLV	A	A3
AY362035	SRLV	A	A3
AY362038	SRLV	A	A3
AY454161	SRLV	A	A4
AY454162	SRLV	A	A4
AY454163	SRLV	A	A4
AY454164	SRLV	BC	B1
AY454165	SRLV	BC	B1
AY454166	SRLV	BC	B1
AY454167	SRLV	BC	B1
AY454168	SRLV	BC	B1
AY454169	SRLV	BC	B1
AY454170	SRLV	BC	B1
AY454171	SRLV	BC	B1
AY454172	SRLV	A	A4
AY454173	SRLV	A	A4
AY454174	SRLV	BC	B1
AY454175	SRLV	A	-
AY454176	SRLV	A	A3
AY454177	SRLV	BC	B1
AY454178	SRLV	BC	B1
AY454179	SRLV	BC	B1
AY454180	SRLV	BC	B1
AY454181	SRLV	A	A4
AY454182	SRLV	BC	B1
AY454183	SRLV	BC	B1
AY454184	SRLV	BC	B1
AY454185	SRLV	BC	B1
AY454186	SRLV	A	A3
AY454187	SRLV	BC	B1
AY454188	SRLV	A	A4
AY454189	SRLV	A	A3
AY454190	SRLV	A	A4
AY454191	SRLV	A	A3
AY454192	SRLV	BC	B1
AY454193	SRLV	BC	B1
AY454194	SRLV	BC	B1
AY454195	SRLV	BC	B1
AY454196	SRLV	BC	B1
AY454197	SRLV	BC	B1
AY454198	SRLV	BC	B1
AY454199	SRLV	BC	B1
AY454200	SRLV	A	A4
AY454201	SRLV	BC	B1
AY454202	SRLV	BC	B1
AY454203	SRLV	BC	B1
AY454204	SRLV	A	A4
AY454205	SRLV	A	A4
AY454206	SRLV	BC	B1
AY454207	SRLV	BC	B1
AY454208	SRLV	A	A3
AY454209	SRLV	A	A4
AY454210	SRLV	A	A4
AY454211	SRLV	A	A4
AY454212	SRLV	BC	B1
AY454213	SRLV	BC	B1
AY454214	SRLV	BC	B1
AY454215	SRLV	BC	B1
AY454216	SRLV	BC	B1
AY454217	SRLV	BC	B1
AY454218	SRLV	BC	B2
AY454219	SRLV	BC	B2
AY454220	SRLV	BC	B1
AY454221	SRLV	BC	B1
AY454222	SRLV	A	A4
AY454223	SRLV	BC	B1
AY454224	SRLV	BC	B1
AY454225	SRLV	A	A4
AY454226	SRLV	A	A4
AY454227	SRLV	A	A4
AY454228	SRLV	A	A4
AY454229	SRLV	A	A4
AY454230	SRLV	A	A4
AY454231	SRLV	A	-
AY454232	SRLV	A	-
AY454233	SRLV	A	A4
AY454234	SRLV	BC	B1
AY454235	SRLV	BC	B1
AY454236	SRLV	BC	B1
AY454237	SRLV	BC	B1
AY454238	SRLV	BC	B1
AY454239	SRLV	BC	B1
AY454240	SRLV	BC	B1
AY454241	SRLV	BC	B1
AY454242	SRLV	BC	B1
AY454243	SRLV	A	A4
AY454244	SRLV	A	A4
AY454245	SRLV	BC	B1
AY454246	SRLV	A	-
AY454247	SRLV	A	A3
AY454248	SRLV	BC	B1
AY454249	SRLV	BC	B1
AY454250	SRLV	BC	B1
AY454251	SRLV	BC	B1
AY454252	SRLV	BC	B1
AY454253	SRLV	BC	B1
AY454254	SRLV	BC	B1
AY454255	SRLV	A	A3
AY454256	SRLV	BC	B1
AY454257	SRLV	BC	B1
AY454258	SRLV	A	A4
AY454259	SRLV	BC	B1
AY454260	SRLV	BC	B1
AY454261	SRLV	BC	B1
AY454262	SRLV	BC	B1
AY454263	SRLV	BC	B1
AY454264	SRLV	BC	B1
AY454265	SRLV	BC	B1
AY454266	SRLV	BC	B1
AY454267	SRLV	BC	B1
AY454268	SRLV	A	A4
AY454269	SRLV	A	-
AY454270	SRLV	BC	B1
AY454271	SRLV	BC	B1
AY454272	SRLV	BC	B1
AY454273	SRLV	A	A4
AY454274	SRLV	A	A4
AY454275	SRLV	BC	B1
AY454276	SRLV	BC	B1
AY454277	SRLV	A	-
AY454278	SRLV	A	A4
AY454279	SRLV	A	A4
AY454280	SRLV	BC	B1
AY454281	SRLV	BC	B1
AY454282	SRLV	BC	B1
AY454283	SRLV	BC	B2
AY454284	SRLV	BC	B2
AY454285	SRLV	BC	B1
AY454286	SRLV	BC	B1
AY454287	SRLV	A	A4
AY454288	SRLV	BC	B1
AY454289	SRLV	BC	B1
AY454290	SRLV	A	A4
AY454291	SRLV	A	A4
AY454292	SRLV	A	A4
AY454293	SRLV	A	A4
AY454294	SRLV	A	-
AY454295	SRLV	A	-
AY454296	SRLV	A	-
AY530289	SRLV	A	A18
AY530290	SRLV	A	-
AY530291	SRLV	A	-
AY530292	SRLV	A	-
AY530293	SRLV	A	-
AY577031	SRLV	A	A4
AY577032	SRLV	A	A4
AY577033	SRLV	A	A4
AY577034	SRLV	A	A4
AY577035	SRLV	A	A4
AY577036	SRLV	A	A4
AY577037	SRLV	A	A4
AY577038	SRLV	A	A4
AY577039	SRLV	A	A4
DL256636	SRLV	BC	B1
DL256637	SRLV	BC	C
DL256638	SRLV	BC	B1
DL256639	SRLV	BC	C
DL256640	SRLV	BC	B1
DL256641	SRLV	BC	C
DL256642	SRLV	-	-
DL256643	SRLV	BC	C
DL256644	SRLV	BC	B1
DL256645	SRLV	BC	C
DL256646	SRLV	BC	B1
DL256648	SRLV	BC	B1
DL256649	SRLV	BC	C
DL256650	SRLV	BC	B1
DL256651	SRLV	BC	B1
DL256652	SRLV	BC	B1
DL256653	SRLV	BC	B1
DL256654	SRLV	BC	B1
DL256655	SRLV	BC	B1
DL256656	SRLV	BC	B1
DL256657	SRLV	BC	B1
DL256658	SRLV	BC	B1
DL256659	SRLV	BC	B1
DL256660	SRLV	BC	B1
DL256661	SRLV	BC	B1
DL256662	SRLV	BC	B1
DL256663	SRLV	BC	B1
DL256664	SRLV	BC	B1
DL256665	SRLV	BC	B1
DL256666	SRLV	BC	B1
DL256667	SRLV	BC	B1
DL256668	SRLV	BC	B1
DL256669	SRLV	BC	B1
DL256670	SRLV	BC	B1
DL256671	SRLV	BC	B1
DL256672	SRLV	BC	B1
DL256673	SRLV	BC	B1
DL256674	SRLV	BC	B1
DL256675	SRLV	BC	B1
DL256676	SRLV	BC	B1
DL256677	SRLV	BC	B1
DL256678	SRLV	BC	B1
DL256679	SRLV	BC	B1
DL256680	SRLV	BC	B1
DL256681	SRLV	BC	B1
DL256682	SRLV	BC	B1
DL256683	SRLV	BC	B1
DL256684	SRLV	BC	B1
DL256685	SRLV	BC	B1
DL256686	SRLV	BC	B1
DL256687	SRLV	BC	B1
DL256688	SRLV	BC	B1
DL256694	SRLV	BC	B1
DQ013214	SRLV	BC	B1
DQ013215	SRLV	BC	B1
DQ013216	SRLV	BC	B1
DQ013217	SRLV	BC	B1
DQ013218	SRLV	BC	B1
DQ013219	SRLV	BC	B1
DQ013220	SRLV	BC	B1
DQ013221	SRLV	BC	B1
DQ013222	SRLV	BC	B1
DQ013223	SRLV	BC	B1
DQ013224	SRLV	BC	B1
DQ013225	SRLV	BC	B1
DQ013226	SRLV	BC	B1
DQ013227	SRLV	BC	B1
DQ013228	SRLV	BC	B1
DQ013229	SRLV	BC	B1
DQ013230	SRLV	BC	B1
DQ013231	SRLV	BC	B1
DQ013232	SRLV	BC	B1
DQ013233	SRLV	BC	B1
DQ013234	SRLV	BC	B1
DQ013235	SRLV	BC	B1
DQ013236	SRLV	BC	B1
DQ013237	SRLV	BC	B1
DQ013238	SRLV	BC	B1
DQ013239	SRLV	BC	B1
DQ013240	SRLV	BC	B1
DQ013241	SRLV	BC	B1
DQ013242	SRLV	BC	B1
DQ013243	SRLV	BC	B1
DQ015910	SRLV	BC	C
DQ015911	SRLV	BC	C
DQ015912	SRLV	BC	C
DQ015913	SRLV	BC	C
DQ015914	SRLV	BC	C
DQ015915	SRLV	BC	-
DQ015916	SRLV	BC	C
DQ084332	SRLV	A	A1
DQ084333	SRLV	A	A1
DQ084334	SRLV	A	A1
DQ084335	SRLV	A	A4
DQ084336	SRLV	A	A1
DQ084337	SRLV	A	A1
DQ084338	SRLV	A	A4
DQ084339	SRLV	A	A1
DQ084340	SRLV	A	A1
DQ084341	SRLV	A	A1
DQ084342	SRLV	A	A4
DQ084343	SRLV	A	-
DQ084344	SRLV	A	A4
DQ084345	SRLV	BC	B2
DQ084346	SRLV	-	-
DQ084347	SRLV	A	A4
DQ149845	SRLV	BC	B1
DQ190001	SRLV	BC	B1
DQ190002	SRLV	BC	B1
DQ190003	SRLV	BC	B1
DQ190004	SRLV	BC	B1
DQ190005	SRLV	BC	B1
DQ190006	SRLV	BC	B1
DQ190007	SRLV	BC	B1
DQ190008	SRLV	BC	B1
DQ190009	SRLV	BC	B1
DQ190010	SRLV	BC	B1
DQ190011	SRLV	BC	B1
DQ190012	SRLV	BC	B1
DQ190013	SRLV	BC	B1
DQ190014	SRLV	BC	B1
DQ190015	SRLV	BC	B1
DQ190016	SRLV	BC	B1
DQ190017	SRLV	BC	B1
DQ190018	SRLV	BC	B1
DQ190019	SRLV	BC	B1
DQ190020	SRLV	BC	B1
DQ190021	SRLV	BC	B1
DQ190022	SRLV	BC	B1
DQ190023	SRLV	BC	B1
DQ190024	SRLV	BC	B1
DQ190025	SRLV	BC	B1
DQ190026	SRLV	BC	B1
DQ190027	SRLV	BC	B1
DQ190028	SRLV	BC	B1
DQ190029	SRLV	BC	B1
DQ190030	SRLV	BC	B1
DQ190031	SRLV	BC	B1
DQ190032	SRLV	BC	B1
DQ190033	SRLV	BC	B1
DQ190034	SRLV	BC	B1
DQ190035	SRLV	BC	B1
DQ190036	SRLV	BC	B1
DQ190037	SRLV	BC	B1
DQ190038	SRLV	BC	B1
DQ190039	SRLV	BC	B1
DQ190040	SRLV	BC	B1
DQ190041	SRLV	BC	B1
DQ190042	SRLV	BC	B1
DQ190043	SRLV	BC	B1
DQ190044	SRLV	BC	B1
DQ190045	SRLV	BC	B1
DQ190046	SRLV	BC	B1
DQ190047	SRLV	BC	B1
DQ190048	SRLV	BC	B1
DQ190049	SRLV	BC	B1
DQ190050	SRLV	BC	B1
DQ190051	SRLV	BC	B1
DQ190052	SRLV	BC	B1
DQ442649	SRLV	A	A3
DQ447661	SRLV	BC	B1
DQ456481	SRLV	BC	B1
DQ456482	SRLV	BC	B1
DQ456483	SRLV	BC	B1
DQ456484	SRLV	BC	B1
DQ456485	SRLV	BC	B1
DQ456486	SRLV	BC	B1
DQ456487	SRLV	BC	B1
DQ632733	SRLV	A	-
DQ632734	SRLV	A	A4
DQ632735	SRLV	A	A4
DQ844911	SRLV	BC	-
DQ844912	SRLV	BC	-
DQ844913	SRLV	BC	-
DQ844914	SRLV	BC	-
DQ844915	SRLV	BC	-
DQ844916	SRLV	BC	-
DQ844917	SRLV	BC	-
DQ844918	SRLV	BC	-
DQ844919	SRLV	BC	-
DQ844920	SRLV	A	-
DQ844921	SRLV	A	A1
DQ844922	SRLV	A	A1
DQ844923	SRLV	A	A1
DQ844924	SRLV	BC	C
DQ844925	SRLV	A	A1
DQ844926	SRLV	BC	C
DQ844927	SRLV	BC	-
DQ844928	SRLV	BC	-
DQ844929	SRLV	BC	-
DQ844930	SRLV	BC	C
DQ844931	SRLV	BC	C
DQ844932	SRLV	BC	C
DQ844933	SRLV	BC	C
DQ844934	SRLV	BC	C
DQ844935	SRLV	BC	C
DQ844936	SRLV	A	A1
DQ844937	SRLV	A	A1
DQ844938	SRLV	A	A1
DQ844939	SRLV	A	A1
DQ844940	SRLV	A	A1
DQ844941	SRLV	A	A1
EF154467	SRLV	A	A8
EF154468	SRLV	A	A8
EF154469	SRLV	A	A8
EF154470	SRLV	A	A8
EF154471	SRLV	A	A8
EF154472	SRLV	A	1
EF154473	SRLV	A	A8
EF154474	SRLV	BC	B1
EF154475	SRLV	A	A8
EF154476	SRLV	A	A8
EF154477	SRLV	A	A8
EF154478	SRLV	A	A8
EF154479	SRLV	A	A8
EF154480	SRLV	BC	B1
EF154481	SRLV	BC	B1
EF154482	SRLV	BC	B1
EF154483	SRLV	A	A8
EF154484	SRLV	A	A8
EF154485	SRLV	BC	B1
EF154486	SRLV	A	A8
EF154487	SRLV	BC	B1
EF154488	SRLV	A	A8
EF154489	SRLV	BC	B1
EF154490	SRLV	BC	B1
EF154491	SRLV	BC	B1
EF154492	SRLV	BC	B1
EF154493	SRLV	A	A8
EF154494	SRLV	A	-
EF154495	SRLV	BC	B1
EF154496	SRLV	A	A8
EF154497	SRLV	BC	B1
EF154498	SRLV	BC	B1
EF154499	SRLV	BC	B1
EF154500	SRLV	BC	B1
EF154501	SRLV	BC	B1
EF154502	SRLV	BC	B1
EF154503	SRLV	BC	B1
EF154504	SRLV	BC	B1
EF154505	SRLV	A	A8
EF154506	SRLV	A	A8
EF154507	SRLV	BC	B1
EF154508	SRLV	A	A8
EF154509	SRLV	A	A8
EF154510	SRLV	A	A8
EF154511	SRLV	A	A8
EF445431	SRLV	A	A1
EF675997	SRLV	BC	B1
EF676000	SRLV	BC	B2
EF676002	SRLV	BC	B1
EF676003	SRLV	E	E1
EF676004	SRLV	E	E1
EF676005	SRLV	E	E1
EF676006	SRLV	A	A8
EF676007	SRLV	BC	B1
EF676008	SRLV	BC	B1
EF676009	SRLV	BC	B1
EF676010	SRLV	BC	B1
EF676013	SRLV	BC	1
EF676014	SRLV	E	E1
EF676015	SRLV	BC	B1
EF676016	SRLV	A	A18
EF676017	SRLV	A	A18
EF676018	SRLV	A	A18
EF676019	SRLV	A	A18
EF676020	SRLV	A	A18
EF676021	SRLV	E	E1
EF676022	SRLV	E	E1
EF676023	SRLV	E	E1
EF676024	SRLV	E	E1
EF676025	SRLV	E	E1
EF676026	SRLV	BC	B1
EF685709	SRLV	BC	B1
EF685710	SRLV	BC	B1
EF685711	SRLV	BC	B1
EF685712	SRLV	BC	B1
EF685713	SRLV	BC	B1
EF685714	SRLV	BC	B1
EF685715	SRLV	BC	B1
EF685716	SRLV	BC	B1
EF685717	SRLV	BC	B1
EF685718	SRLV	BC	B1
EF685719	SRLV	BC	B1
EF685720	SRLV	BC	B1
EF685721	SRLV	BC	B1
EF685722	SRLV	BC	B1
EF685723	SRLV	BC	B1
EF685724	SRLV	BC	B1
EF685725	SRLV	BC	B1
EF685726	SRLV	A	A8
EF685727	SRLV	A	A8
EF685728	SRLV	A	A8
EF685729	SRLV	A	A8
EF685730	SRLV	A	A8
EF685731	SRLV	A	A8
EF685732	SRLV	A	A8
EF685733	SRLV	A	A8
EF685734	SRLV	A	A8
EF685735	SRLV	A	A8
EF685736	SRLV	A	A8
EF685737	SRLV	A	A8
EF685738	SRLV	A	A8
EF685739	SRLV	A	A8
EF685740	SRLV	A	A8
EF685741	SRLV	A	A8
EF685742	SRLV	A	A8
EF685743	SRLV	A	A8
EF685744	SRLV	A	A8
EF685745	SRLV	A	A8
EF685746	SRLV	BC	B1
EF685747	SRLV	BC	B1
EF685748	SRLV	BC	B1
EF685749	SRLV	BC	B1
EF685750	SRLV	BC	B1
EF685751	SRLV	BC	B1
EF685752	SRLV	BC	B1
EF685753	SRLV	BC	B1
EF685754	SRLV	BC	B1
EF685755	SRLV	BC	B1
EF685756	SRLV	BC	B1
EF685757	SRLV	BC	B1
EF685758	SRLV	BC	B1
EF685759	SRLV	BC	B1
EF685760	SRLV	BC	B1
EF685761	SRLV	BC	B1
EF685762	SRLV	BC	B1
EF685763	SRLV	BC	B1
EF685764	SRLV	BC	B1
EF685765	SRLV	BC	B1
EF685766	SRLV	BC	B1
EF685767	SRLV	BC	B1
EF685768	SRLV	BC	B1
EF685769	SRLV	BC	B1
EF685770	SRLV	BC	B1
EF685771	SRLV	BC	B1
EF685772	SRLV	BC	B1
EF685773	SRLV	BC	B1
EF685774	SRLV	BC	B1
EF685775	SRLV	BC	B1
EF685776	SRLV	BC	B1
EF685777	SRLV	BC	B1
EF685778	SRLV	BC	B1
EF685779	SRLV	BC	B1
EF685780	SRLV	BC	B1
EF685781	SRLV	BC	B1
EF685782	SRLV	BC	B1
EF685783	SRLV	BC	B1
EF685784	SRLV	BC	B1
EF685785	SRLV	BC	B1
EF685786	SRLV	BC	B1
EF685787	SRLV	BC	B1
EF685788	SRLV	BC	B1
EF685789	SRLV	BC	B1
EF685790	SRLV	BC	B1
EF685791	SRLV	BC	B1
EF685792	SRLV	BC	B1
EF685793	SRLV	BC	B1
EF685794	SRLV	BC	B1
EF685795	SRLV	BC	B1
EF685796	SRLV	BC	B1
EF685797	SRLV	BC	B1
EF685798	SRLV	BC	B1
EF685799	SRLV	BC	B1
EF685800	SRLV	BC	B1
EF685801	SRLV	BC	B1
EF685802	SRLV	BC	B1
EF685803	SRLV	BC	B1
EF685804	SRLV	BC	B1
EF685805	SRLV	BC	B1
EF685806	SRLV	BC	B1
EF685807	SRLV	BC	B1
EF685808	SRLV	BC	B1
EF685809	SRLV	BC	B1
EF685810	SRLV	BC	B1
EF685811	SRLV	BC	B1
EF685812	SRLV	BC	B1
EF685813	SRLV	BC	B1
EF685814	SRLV	BC	B1
EF685815	SRLV	BC	B1
EF685816	SRLV	BC	B1
EF685817	SRLV	BC	B1
EF685818	SRLV	BC	B1
EF685819	SRLV	BC	B1
EF685820	SRLV	BC	B1
EF685821	SRLV	BC	B1
EF685822	SRLV	BC	B1
EF685823	SRLV	BC	B1
EF685824	SRLV	BC	B1
EF685825	SRLV	BC	B1
EF685826	SRLV	BC	B1
EF685827	SRLV	BC	B1
EF685828	SRLV	BC	B1
EF685829	SRLV	BC	B1
EF685830	SRLV	BC	B1
EF685831	SRLV	BC	B1
EF685832	SRLV	BC	B1
EF685833	SRLV	BC	B1
EF685834	SRLV	BC	B1
EF685835	SRLV	BC	B1
EF685836	SRLV	BC	B1
EF685837	SRLV	BC	B1
EF685838	SRLV	BC	B1
EF685839	SRLV	BC	B1
EF685840	SRLV	BC	B1
EF685841	SRLV	BC	B1
EF685842	SRLV	BC	B1
EF685843	SRLV	BC	B1
EF685844	SRLV	BC	B1
EF685845	SRLV	BC	B1
EF685846	SRLV	BC	B1
EF685847	SRLV	BC	B1
EF685848	SRLV	A	A8
EF685849	SRLV	A	A8
EF685850	SRLV	A	A8
EF685851	SRLV	A	A8
EF685852	SRLV	A	A8
EF685853	SRLV	A	A8
EF685854	SRLV	A	A8
EF685855	SRLV	A	A8
EF685856	SRLV	A	A8
EF685857	SRLV	A	A8
EF685858	SRLV	A	A8
EF685859	SRLV	A	A8
EF685860	SRLV	A	A8
EF685861	SRLV	A	A8
EF685862	SRLV	A	A8
EF685863	SRLV	A	A8
EF685864	SRLV	A	A8
EF685865	SRLV	A	A8
EF685866	SRLV	A	A8
EF685867	SRLV	A	A8
EF685868	SRLV	A	A8
EF685869	SRLV	BC	B1
EF685870	SRLV	BC	B1
EF685871	SRLV	BC	B1
EF685872	SRLV	BC	B1
EF685873	SRLV	A	A8
EF685874	SRLV	BC	B1
EF685875	SRLV	A	A8
EF685876	SRLV	BC	B1
EF685877	SRLV	BC	B1
EF685878	SRLV	BC	B1
EF685879	SRLV	BC	B1
EF685880	SRLV	BC	B1
EF685881	SRLV	BC	B1
EF685882	SRLV	BC	B1
EF685883	SRLV	BC	B1
EF685884	SRLV	BC	B1
EF685885	SRLV	BC	B1
EF685886	SRLV	A	A8
EF685887	SRLV	BC	B1
EF685888	SRLV	BC	B1
EF685889	SRLV	BC	B1
EF685890	SRLV	BC	B1
EF685891	SRLV	BC	B1
EF685892	SRLV	BC	B1
EF685893	SRLV	BC	B1
EF685894	SRLV	BC	B1
EF685895	SRLV	BC	B1
EF685896	SRLV	BC	B1
EF685897	SRLV	BC	B1
EF685898	SRLV	BC	B1
EF685899	SRLV	BC	B1
EF685900	SRLV	BC	B1
EF685901	SRLV	BC	B1
EF685902	SRLV	BC	B1
EU010120	SRLV	BC	B1
EU010121	SRLV	BC	B1
EU010122	SRLV	BC	B1
EU010123	SRLV	A	-
EU010124	SRLV	E	E1
EU010125	SRLV	A	A8
EU010126	SRLV	BC	B2
EU202722	SRLV	BC	B1
EU202723	SRLV	BC	B1
EU202724	SRLV	BC	B1
EU202725	SRLV	BC	B1
EU202726	SRLV	BC	B1
EU202727	SRLV	BC	B1
EU202728	SRLV	BC	B1
EU202729	SRLV	BC	B1
EU262573	SRLV	BC	B1
EU262574	SRLV	BC	B1
EU375926	SRLV	BC	B1
EU375927	SRLV	BC	B1
EU375928	SRLV	BC	B1
EU375929	SRLV	BC	B1
EU375930	SRLV	BC	B1
EU375931	SRLV	BC	B1
EU375932	SRLV	BC	B1
EU375933	SRLV	BC	B1
EU375934	SRLV	BC	B1
EU375935	SRLV	BC	B1
EU375936	SRLV	BC	B1
EU375937	SRLV	BC	B1
EU375938	SRLV	BC	B1
EU375939	SRLV	BC	B1
EU375940	SRLV	BC	B1
EU375941	SRLV	BC	B1
EU375942	SRLV	BC	B1
EU375943	SRLV	BC	B1
EU375944	SRLV	BC	B1
EU375945	SRLV	BC	B1
EU375946	SRLV	BC	B1
EU375947	SRLV	BC	B1
EU375948	SRLV	BC	B1
EU375949	SRLV	BC	B1
EU375950	SRLV	BC	B1
EU375951	SRLV	BC	B1
EU375952	SRLV	BC	B1
EU375953	SRLV	BC	B1
EU375954	SRLV	BC	B1
EU375955	SRLV	BC	B1
EU375956	SRLV	BC	B1
EU375957	SRLV	BC	B1
EU375958	SRLV	BC	B1
EU375959	SRLV	BC	B1
EU375960	SRLV	BC	B1
EU375961	SRLV	BC	B1
EU375962	SRLV	BC	B1
EU375963	SRLV	BC	B1
EU375964	SRLV	BC	B1
EU375965	SRLV	BC	B1
EU375966	SRLV	BC	B1
EU375967	SRLV	BC	B1
EU526865	SRLV	BC	B1
EU702487	SRLV	A	-
EU709743	SRLV	BC	B2
EU709744	SRLV	BC	B2
